Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,22.180000,22.650000,22.110001,22.340000,22.253242,101600
2020-08-05,22.590000,22.700001,22.180000,22.450001,22.362816,135500
2020-08-06,22.500000,22.920000,22.410000,22.660000,22.572001,119500
2020-08-07,22.559999,23.170000,22.530001,23.070000,23.070000,156600
2020-08-10,23.070000,23.799999,23.070000,23.469999,23.469999,108400
2020-08-11,23.700001,24.010000,23.299999,23.430000,23.430000,107900
2020-08-12,23.790001,23.790001,23.170000,23.440001,23.440001,70400
2020-08-13,23.230000,23.400000,22.889999,23.219999,23.219999,66500
2020-08-14,23.070000,23.170000,22.820000,22.969999,22.969999,49500
2020-08-17,23.020000,23.040001,22.760000,22.820000,22.820000,57500
2020-08-18,22.730000,22.730000,22.309999,22.500000,22.500000,76400
2020-08-19,22.440001,23.389999,22.440001,22.860001,22.860001,91000
2020-08-20,22.559999,22.650000,22.360001,22.450001,22.450001,52800
2020-08-21,22.290001,22.350000,22.180000,22.309999,22.309999,86500
2020-08-24,22.370001,22.850000,22.180000,22.709999,22.709999,71600
2020-08-25,22.990000,23.160000,22.480000,22.570000,22.570000,83000
2020-08-26,22.510000,22.510000,22.120001,22.200001,22.200001,55500
2020-08-27,22.110001,22.610001,22.110001,22.520000,22.520000,61300
2020-08-28,22.690001,22.690001,22.200001,22.370001,22.370001,31500
2020-08-31,22.290001,22.320000,21.950001,22.139999,22.139999,94200
2020-09-01,22.030001,22.290001,21.980000,22.270000,22.270000,68800
2020-09-02,22.270000,22.600000,22.100000,22.490000,22.490000,74100
2020-09-03,22.549999,22.559999,21.920000,22.090000,22.090000,112800
2020-09-04,22.430000,22.430000,21.850000,22.150000,22.150000,66100
2020-09-08,22.030001,22.030001,21.410000,21.520000,21.520000,72200
2020-09-09,21.559999,22.360001,21.559999,21.900000,21.900000,125900
2020-09-10,21.900000,22.090000,21.270000,21.290001,21.290001,157100
2020-09-11,21.379999,21.379999,20.680000,21.190001,21.190001,170800
2020-09-14,21.500000,22.330000,21.320000,22.190001,22.190001,165600
2020-09-15,22.440001,22.650000,21.100000,21.170000,21.170000,79400
2020-09-16,21.180000,21.620001,21.059999,21.350000,21.350000,92300
2020-09-17,21.120001,21.200001,20.889999,21.020000,21.020000,67200
2020-09-18,21.200001,21.590000,20.990000,21.459999,21.459999,179000
2020-09-21,21.049999,21.049999,20.370001,20.879999,20.879999,130500
2020-09-22,21.020000,21.020000,20.219999,20.379999,20.379999,53400
2020-09-23,20.240000,20.920000,20.240000,20.809999,20.809999,92200
2020-09-24,20.860001,21.309999,20.709999,21.049999,21.049999,73700
2020-09-25,20.860001,21.530001,20.860001,21.309999,21.309999,81800
